Título,Link,Snippet,Autores,Data de Publicação,Fonte,Similaridade com Título,Similaridade com Resumo,Similaridade Média
Glit: Neural architecture search for global and local image transformer,http://openaccess.thecvf.com/content/ICCV2021/html/Chen_GLiT_Neural_Architecture_Search_for_Global_and_Local_Image_Transformer_ICCV_2021_paper.html,"Specifically, we introduce a locality module that models the  All the above methods manually  design attention mechanism  We utilize 1D convolution layer instead of 2D convolution layer","B Chen, P Li, C Li, B Li, L Bai, C Lin",2021,Proceedings of the …,0.7759740232784499,0.8013154799364274,0.7886447516074386
Video transformer network,http://openaccess.thecvf.com/content/ICCV2021W/CVEU/html/Neimark_Video_Transformer_Network_ICCVW_2021_paper.html,Followed by a temporal attention-based encoder (Longformer in this  NLN demonstrated  that the core attention mechanism in Transformers can  1 demonstrates our architecture layout.,"D Neimark, O Bar, M Zohar",2021,Proceedings of the …,0.7907434393906622,0.7863492877041485,0.7885463635474053
HCA-former: Hybrid Convolution Attention Transformer for 3D Medical Image Segmentation,https://www.sciencedirect.com/science/article/pii/S1746809423012673,"of CNN into the architecture of the Transformer. It confines  transformer layers are introduced  in each module, where the  a new dual-headed attention mechanism inserted into the DFB.","F Yang, F Wang, P Dong, B Wang",2024,Biomedical Signal Processing and …,0.7777542894746305,0.7992951194696656,0.7885247044721481
Dual-former: Hybrid self-attention transformer for efficient image restoration,https://www.sciencedirect.com/science/article/pii/S1051200424001106,"of convolutions in an overall architecture. With convolution- For the Hybrid Transformer  Block in the latent layer, we  , we also design a local feature extraction module in parallel with","S Chen, T Ye, Y Liu, E Chen",2024,Digital Signal Processing,0.776145944604065,0.8006886592351838,0.7884173019196244
Quantifying attention flow in transformers,https://arxiv.org/abs/2005.00928,"Given the attention module with residual connection, we  , we average the attention at each  layer over all heads.  in any task or architecture that uses self-attention. We should note that","S Abnar, W Zuidema",2020,arXiv preprint arXiv:2005.00928,0.7719564540017894,0.8048137736388468,0.7883851138203181
An arrhythmia classification model based on vision transformer with deformable attention,https://www.mdpi.com/2072-666X/14/6/1155,", the transformer architecture can capture temporal features through an attention mechanism  and  First, we assess the effectiveness of the deformable attention module. In our CNN-DVIT","Y Dong, M Zhang, L Qiu, L Wang, Y Yu",2023,Micromachines,0.7691233979593373,0.8076140109232115,0.7883687044412744
A novel hybrid framework based on temporal convolution network and transformer for network traffic prediction,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0288935,"The Transformer architecture outperformed previous models  Block Attention Module (CBAM)  attention mechanism [20] to  , a layer of Transformer with a full self-attention mechanism","Z Zhang, S Gong, Z Liu, D Chen",2023,Plos one,0.7859390031135298,0.7906845841029868,0.7883117936082583
Lightweight vision transformer with cross feature attention,https://arxiv.org/abs/2207.07268,"strategies to find the optimal architecture under restrictions like  in transformer lies in the  self-attention layer. In the original  of attention module, called cross feature attention (XFA). Fol","Y Zhao, H Tang, Y Jiang, Q Wu",2022,arXiv preprint arXiv:2207.07268,0.7779392966539268,0.7984261089000706,0.7881827027769988
Introducing attention mechanism for eeg signals: Emotion recognition with vision transformers,https://ieeexplore.ieee.org/abstract/document/9629837/,"Representations from Transformers (BERT) [14] architecture,  Then a SoftMax layer followed  by an ArgMax layer is applied  multi-headed attention-based mechanism, the model is able","A Arjun, AS Rajpoot",2021,2021 43rd annual …,0.7744283177077421,0.8016099561318235,0.7880191369197829
Two-stream transformer network for sensor-based human activity recognition,https://www.sciencedirect.com/science/article/pii/S0925231222011924,"propose a self-attention based Two-stream Transformer Network ( In aggregation layer, we  use the attention mechanism to  the contribution of two-stream architecture. From Table 5, we","S Xiao, S Wang, Z Huang, Y Wang, H Jiang",2022,Neurocomputing,0.7871947024747261,0.7884772248193883,0.7878359636470572
Axial Attention Transformer Networks: A New Frontier in Breast Cancer Detection,https://arxiv.org/abs/2409.12347,"an axial attention mechanism with gated units. (4) By using the axial attention module with   The U-Net architecture has been a standard in medical image segmentation, yet it falls short","W He, R Bao, Y Cang, J Wei, Y Zhang, J Hu",2024,arXiv preprint arXiv …,0.7869692596463345,0.7886815543955459,0.7878254070209402
CrossFuse: A novel cross attention mechanism based infrared and visible image fusion approach,https://www.sciencedirect.com/science/article/pii/S1566253523004633,"To overcome the limitations of current transformer-based  By injecting the CAM into the  transformer architecture, the  novel attention-based loss function is proposed to train our network.","H Li, XJ Wu",2024,Information Fusion,0.7731884241751086,0.8023874152512375,0.787787919713173
Swin transformer assisted prior attention network for medical image segmentation,https://dl.acm.org/doi/abs/10.1145/3532213.3532287,"to apply pure Transformer-based U-shaped architecture to  Swin Transformer module  is consisted of LayerNorm layer,  details by applying window-based attention mechanism.","Z Liao, K Xu, N Fan",2022,Proceedings of the 8th International Conference on …,0.7839387635571573,0.7910614385872747,0.787500101072216
Hand-transformer: Non-autoregressive structured modeling for 3d hand pose estimation,https://link.springer.com/chapter/10.1007/978-3-030-58595-2_2,propose to leverage the Transformer architecture with a novel  -decoder attention mechanism  used in the Transformer to  masked self-attention module of the traditional Transformer,"L Huang, J Tan, J Liu, J Yuan",2020,"… Conference, Glasgow, UK, August 23–28 …",0.7759347131127262,0.7990151520761832,0.7874749325944548
Cross attention is all you need: relational remote sensing change detection with transformer,https://www.tandfonline.com/doi/abs/10.1080/15481603.2024.2380126,The proposed architecture is able to excavate the long-range  cross attention model is  passed to a simple three-layer FFN  RCDT module that involves the cross attention mechanism.,"K Lu, X Huang, R Xia, P Zhang",2024,GIScience & Remote …,0.7816395581417646,0.7932827255374841,0.7874611418396243
Transattunet: Multi-level attention-guided u-net with transformer for medical image segmentation,https://ieeexplore.ieee.org/abstract/document/10244199/,"segmentation architecture. Inspired by Transformer, the self-aware attention (SAA) module  with  The multi-head attention mechanism processes each attention head separately and","B Chen, Y Liu, Z Zhang, G Lu",2023,IEEE Transactions on …,0.7837428066931462,0.7911714621507786,0.7874571344219624
Efficient temporal flow Transformer accompanied with multi-head probsparse self-attention mechanism for remaining useful life prognostics,https://www.sciencedirect.com/science/article/pii/S095183202200326X,"As a new architecture, the Transformer completely relies on  The encoder module mainly  undertakes the function of mining  Comparisons of different attention mechanism in various RUL","Y Chang, F Li, J Chen, Y Liu, Z Li",2022,Reliability Engineering & System Safety,0.777041315229113,0.7976467316959537,0.7873440234625333
Decomformer: Decompose Self-Attention of Transformer for Efficient Image Restoration,https://ieeexplore.ieee.org/abstract/document/10464292/,"A transformer architecture achieves outstanding  attention mechanism, D-MSA,  with previous self-attention  the attention module of the first encoder layer in the network","E Lee, Y Hwang",2024,IEEE Access,0.7813601579841641,0.793216024001492,0.7872880909928281
EMTCAL: Efficient multiscale transformer and cross-level attention learning for remote sensing scene classification,https://ieeexplore.ieee.org/abstract/document/9844016/,"First, we use a multi-layer feature extraction module (MFEM) to  the scaled dotproduct attention  mechanism, its formulation is,  transformer architecture (ie, ViT [44]) and several improved","X Tang, M Li, J Ma, X Zhang, F Liu",2022,IEEE Transactions on …,0.7685301860193821,0.8058618706463339,0.787196028332858
Facial action unit detection based on transformer and attention mechanism,https://link.springer.com/chapter/10.1007/978-3-030-87358-5_37,"network based on Transformer and Attention Mechanism named  predefined attention map,  we refer to the skipping layer structure  module on the fixed attention mechanism is effective.","W Song, S Shi, G An",2021,International Conference on Image and Graphics,0.7798237298957327,0.7942403325995796,0.7870320312476562
Transformer based memory network for sentiment analysis of web comments,https://ieeexplore.ieee.org/abstract/document/8918438/,"module. We use a global self-attention mechanism and a local attention mechanism (memory   of the sequence transduction model, we need to use a novel architecture, the self-attention","M Jiang, J Wu, X Shi, M Zhang",2019,IEEE Access,0.7818579605385554,0.79195456839363,0.7869062644660927
MTAtrack: Multilevel transformer attention for visual tracking,https://www.sciencedirect.com/science/article/pii/S0030399223005522,"networks based on the Transformer attention mechanism  The overall architecture of the  MTAtrack network mainly  model, we connect every layer output of the self-attention module,","D An, F Zhang, Y Zhao, B Luo, C Yang, B Chen",2023,Optics & Laser …,0.7779632030489532,0.7957176008897,0.7868404019693266
Neural speech synthesis with transformer network,https://ojs.aaai.org/index.php/AAAI/article/view/4642,"and adapt the multi-head attention mechanism to replace the  introduce the architecture of  our Transformer TTS model, and  Attention-based models for speech recognition. In Advances","N Li, S Liu, Y Liu, S Zhao, M Liu",2019,… of the AAAI conference on artificial …,0.7837866462360779,0.7898546459847481,0.786820646110413
Design of a modified transformer architecture based on relative position coding,https://link.springer.com/article/10.1007/s44196-023-00345-z,"transformer module, the calculation formula of self-attention is  position embedding layer.  The performance of the modified  This study uses transformer-based attention mechanism, so","W Zheng, G Gong, J Tian, S Lu, R Wang, Z Yin",2023,International Journal of …,0.7766913911190989,0.7966027498145334,0.7866470704668161
ACTNet: A dual-attention adapter with a CNN-transformer network for the semantic segmentation of remote sensing imagery,https://www.mdpi.com/2072-4292/15/9/2363,"Transformer, the ResAttn module is designed as an adapter in this paper. Its dual attention  mechanism  and presented in the Vision Transformer architecture, which relies on its attention","Z Zhang, F Liu, C Liu, Q Tian, H Qu",2023,Remote Sensing,0.7684443759554003,0.8048058150748203,0.7866250955151103
Transformer tracking with multi-scale dual-attention,https://link.springer.com/article/10.1007/s40747-023-01043-1,"Attention mechanism in Transformer can fully explore the  In this paper, a novel multi-scale  dual-attention-based tracking  In this work, a Siamese network architecture is designed.","J Wang, C Lai, W Zhang, Y Wang, C Meng",2023,Complex & Intelligent Systems,0.7693845555701659,0.8038204230504453,0.7866024893103056
FAMOUS: Flexible Accelerator for the Attention Mechanism of Transformer on UltraScale+ FPGAs,https://arxiv.org/abs/2409.14023,"was designed for the multi-head attention (MHA) layer of a transformer neural network (TNN)   In this paper, the architecture supports only the attention module, but it will be expanded to","E Kabir, MA Kabir, ARJ Downey, JD Bakos",2024,arXiv preprint arXiv …,0.7751925457120281,0.7978483399289347,0.7865204428204814
A hybrid network of cnn and transformer for lightweight image super-resolution,https://openaccess.thecvf.com/content/CVPR2022W/NTIRE/html/Fang_A_Hybrid_Network_of_CNN_and_Transformer_for_Lightweight_Image_CVPRW_2022_paper.html,"Attention-based networks. Inspired by human visual system which can focus on significant  regions automatically, attention mechanism  Transformer layer (STL) adopts the architecture of","J Fang, H Lin, X Chen, K Zeng",2022,Proceedings of the IEEE …,0.777743933411977,0.7952688873920217,0.7865064104019994
Minilm: Deep self-attention distillation for task-agnostic compression of pre-trained transformers,https://proceedings.neurips.cc/paper/2020/hash/3f5ee243547dee91fbd053c1c4a845aa-Abstract.html,distilling the self-attention module of the last Transformer layer of  of the student is required  to have the same architecture as its  The attention mechanism [3] has been a highly successful,"W Wang, F Wei, L Dong, H Bao",2020,Advances in Neural …,0.7722455935858993,0.8003343714204827,0.786289982503191
Efficient content-based sparse attention with routing transformers,https://direct.mit.edu/tacl/article-abstract/doi/10.1162/tacl_a_00353/97776,"with a sparse routing module based on online k-means while  we train a 22 layer Routing  Transformer model with 8 heads  Overall, our work contributes an efficient attention mechanism","A Roy, M Saffar, A Vaswani, D Grangier",2021,Transactions of the …,0.7790053998368802,0.7934719277570979,0.786238663796989
Hyperspectral Image Classification Using Attention-only Spatial-Spectral Network Based on Transformer,https://ieeexplore.ieee.org/abstract/document/10587243/,"new network architecture called the transformer architecture,  success of the attention  mechanism, this paper proposes a  feature extraction module (ie, the spectral attention module).","W Liao, F Wang, H Zhao",2024,IEEE Access,0.7782981772598266,0.794122125134738,0.7862101511972823
Cross-attention transformer for video interpolation,https://openaccess.thecvf.com/content/ACCV2022W/TCV/html/Kim_Cross-Attention_Transformer_for_Video_Interpolation_ACCVW_2022_paper.html,"vision transformer module and spatial attention module, still  various modules in the transformer  architecture, and derives  cross-similarity transformer and spatial attention mechanism.","HH Kim, S Yu, S Yuan",2022,Proceedings of the Asian …,0.7710783435131734,0.801268459409642,0.7861734014614077
Monotonic multihead attention,https://arxiv.org/abs/1909.12406,"attention mechanism, monotonic multihead attention, which enables the Transformer model   An important feature of the Transformer is the use of a separate multihead attention module","X Ma, J Pino, J Cross, L Puzon, J Gu",2019,arXiv preprint arXiv:1909.12406,0.7787533961913298,0.793547752067475,0.7861505741294024
Robust wave-feature adaptive heartbeat classification based on self-attention mechanism using a transformer model,https://iopscience.iop.org/article/10.1088/1361-6579/ac3e88/meta,"the feature attention mechanism (FAM) and location attention  model based on the proposed  transformer model architecture,  encoder module of the transformer to perform self-attention","S Hu, W Cai, T Gao, J Zhou",2021,Physiological …,0.7764965589241054,0.79579705597253,0.7861468074483178
Spectral–spatial morphological attention transformer for hyperspectral image classification,https://ieeexplore.ieee.org/abstract/document/10036472/,(in conjunction with the attention mechanism) to improve the  a transformer encoder module  and utilizing adjacent bands.  transformer architecture search subject to find out the optimal,"SK Roy, A Deria, C Shah, JM Haut",2023,IEEE Transactions on …,0.7785977208994228,0.7935855519736212,0.786091636436522
PL-Transformer: a POS-aware and layer ensemble transformer for text classification,https://link.springer.com/article/10.1007/s00521-022-07872-4,"a masked multi-head attention module, a normalization layer,  a The architecture of using  transformer for text classification.  our hook function with the attention mechanism in Sect. 4.6).","Y Shi, X Zhang, N Yu",2023,Neural Computing and Applications,0.786598924979725,0.7855232768815861,0.7860611009306555
Long-short transformer: Efficient transformers for language and vision,https://proceedings.neurips.cc/paper/2021/hash/9425be43ba92c2b4454ca7bf602efad8-Abstract.html,"suffixes are our long-short term attention based on the official ViL  does not depend on the  particular architecture, and it can be  We design a novel global attention mechanism with linear","C Zhu, W Ping, C Xiao, M Shoeybi",2021,Advances in neural …,0.7760090096287293,0.7961050761000159,0.7860570428643726
Centroid transformers: Learning to abstract with attention,https://arxiv.org/abs/2102.08606,"and use it to motivate the design of our new module.  the design of a new transformer  architecture, and our goal is not  to draw connection between attention mechanism and learning to","L Wu, X Liu, Q Liu",2021,arXiv preprint arXiv:2102.08606,0.7823879947314344,0.7894679295610108,0.7859279621462225
Beyond self-attention: Deformable large kernel attention for medical image segmentation,https://openaccess.thecvf.com/content/WACV2024/html/Azad_Beyond_Self-Attention_Deformable_Large_Kernel_Attention_for_Medical_Image_Segmentation_WACV_2024_paper.html,"Additionally, our proposed attention mechanism benefits  Transformer architecture, the  D-LKA Net. Evaluations of our  transformer-based pipeline featuring a double attention module","R Azad, L Niggemeier, M Hüttemann",2024,Proceedings of the …,0.7767728194634782,0.795070045123524,0.7859214322935011
Image captioning through image transformer,http://openaccess.thecvf.com/content/ACCV2020/html/He_Image_Captioning_through_Image_Transformer_ACCV_2020_paper.html,"use a recurrent neural network with attention mechanism in the decoding  architecture for  the transformer layer adapted to the image captioning task, with a modified attention module","S He, W Liao, HR Tavakoli, M Yang",2020,Proceedings of the …,0.781019295121381,0.7904911424928024,0.7857552188070918
Skeleton-based action recognition via spatial and temporal transformer networks,https://www.sciencedirect.com/science/article/pii/S1077314221000631,", we introduce a Temporal Self-Attention (TSA) module to study the  Transformer (ST-TR)  network, an architecture which uses  , a layer of standard convolution with our transformer","C Plizzari, M Cannici, M Matteucci",2021,Computer Vision and Image …,0.7793663242358656,0.7921115743360576,0.7857389492859617
Transformer with Hybrid Attention Mechanism for Stereo Endoscopic Video Super Resolution,https://www.mdpi.com/2073-8994/15/10/1947,"Specifically, the Swin transformer architecture is utilized in  hybrid attention block that combines  the parallel attention module  feed-forward layer in the transformer model spatially aligns","T Zhang, J Yang",2023,Symmetry,0.7815998686625627,0.7892783638819671,0.7854391162722649
Remaining useful life prediction via a deep adaptive transformer framework enhanced by graph attention network,https://www.sciencedirect.com/science/article/pii/S0142112323002232,"the attention mechanism to calculate the attention coefficients  Therefore, we propose a DAT  module for RUL estimation to  choice of neural network architecture and model parameters","P Liang, Y Li, B Wang, X Yuan, L Zhang",2023,International Journal of Fatigue,0.7723916355944763,0.7983489211386985,0.7853702783665875
When shift operation meets vision transformer: An extremely simple alternative to attention mechanism,https://ojs.aaai.org/index.php/AAAI/article/view/20142,"We propose to replace the attention layer with a simple shift  backbones are based on the  architecture of Swin Transformer already the simplest spatial modelling module, we argue that","G Wang, Y Zhao, C Tang, C Luo, W Zeng",2022,Proceedings of the AAAI …,0.7797983441804517,0.7908959271287913,0.7853471356546216
Attention mechanism in intelligent fault diagnosis of machinery: A review of technique and application,https://www.sciencedirect.com/science/article/pii/S0263224122008077,"Transformer was first applied to NLP and achieved results  -based, Convolution-based  and Self-Attention-based. We will  But the full connected layer has insufficient ability to extract","H Lv, J Chen, T Pan, T Zhang, Y Feng, S Liu",2022,Measurement,0.7767340791484791,0.7938148223324115,0.7852744507404453
Cross aggregation transformer for image restoration,https://proceedings.neurips.cc/paper_files/paper/2022/hash/a37fea8e67f907311826bc1ba2654d97-Abstract-Conference.html,"Recently, Transformer architecture has been introduced into  Module to complement the  self-attention mechanism, which  44], we propose a new window attention mechanism as","Z Chen, Y Zhang, J Gu, L Kong",2022,Advances in Neural …,0.7752055600781257,0.7952798502028269,0.7852427051404762
Dependency graph enhanced dual-transformer structure for aspect-based sentiment classification,https://aclanthology.org/2020.acl-main.588/,"The network architecture of our proposed DGEDT is shown  maxpooling and apply an  attention module to align contextual  Here, we utilize an attention mechanism to identify relevant","H Tang, D Ji, C Li, Q Zhou",2020,… of the 58th annual meeting of the …,0.7853236663525099,0.7850948392375712,0.7852092527950405
Contextual transformer networks for visual recognition,https://ieeexplore.ieee.org/abstract/document/9747984/,"a novel Transformer-style module, ie, Contextual Transformer ( way to enhance  Transformer-style architecture by exploiting the  2 through attention mechanism [36]. In particular,","Y Li, T Yao, Y Pan, T Mei",2022,IEEE Transactions on Pattern …,0.778723979876313,0.7914676834760718,0.7850958316761925
Multimodal transformer for accelerated MR imaging,https://ieeexplore.ieee.org/abstract/document/9796552/,"multi-head attention mechanism, named cross attention module propose a novel transformer  architecture, named MTrans, to  task, we add a sub-pixel convolutional layer [66] to Tailtar to","CM Feng, Y Yan, G Chen, Y Xu, Y Hu",2022,IEEE Transactions on …,0.778107560991235,0.792053552891338,0.7850805569412865
RPformer: A robust parallel transformer for visual tracking in complex scenes,https://ieeexplore.ieee.org/abstract/document/9764834/,"Transformer architecture with the attention mechanism to replace the correlation-based network  module propose two fresh Transformer variant structures based on attention mechanism,","F Gu, J Lu, C Cai",2022,IEEE Transactions on Instrumentation and …,0.7883190307430081,0.7816567660820901,0.7849878984125491
Wild terrestrial animal re-identification based on an improved locally aware transformer with a cross-attention mechanism,https://www.mdpi.com/2076-2615/12/24/3503,"a transformer network structure with a cross-attention block ( We replace the self-attention  module of the LA transformer with  model consists of three parts, namely, the embedding layer [","Z Zheng, Y Zhao, A Li, Q Yu",2022,Animals,0.7841161801187168,0.7857894050671332,0.7849527925929249
Se (3)-transformers: 3d roto-translation equivariant attention networks,https://proceedings.neurips.cc/paper/2020/hash/15231a7ce4ba789d13b722cc5c955834-Abstract.html,"(3)-Transformer, a variant of the self-attention module for 3D  We have presented an  attention-based neural architecture  a mathematically motivated attention mechanism which can","F Fuchs, D Worrall, V Fischer",2020,Advances in neural …,0.7821240574450892,0.7875443701185963,0.7848342137818427
Deep learning attention mechanism in medical image analysis: Basics and beyonds,https://www.sciltp.com/journals/ijndi/article/view/173,"The attention mechanism is usually used as a module of deep  of channel attention, hybrid  attention, and transformer in medical  [105] proposed a hybrid transformer architecture termed","X Li, M Li, P Yan, G Li, Y Jiang, H Luo",2023,… Journal of Network …,0.7749287480917824,0.7944155896591474,0.7846721688754649
Transformer in transformer,https://proceedings.neurips.cc/paper/2021/hash/854d9fca60b4bd07f9bb215d59ef5561-Abstract.html,"features via the attention mechanism. Basically, the visual  a new architecture, namely,  Transformer iN Transformer (TNT).  In the self-attention module, the inputs X ∈ Rn×d are linearly","K Han, A Xiao, E Wu, J Guo, C Xu",2021,Advances in neural …,0.7836152061028572,0.7856158009431813,0.7846155035230192
Local-to-global self-attention in vision transformers,https://arxiv.org/abs/2107.04735,"1-3), we expand the self-attention module into a multi-path structure,  the detailed architecture  of the proposed LG-Transformer. As  multi-path attention mechanism and demonstrate the","J Li, Y Yan, S Liao, X Yang, L Shao",2021,arXiv preprint arXiv:2107.04735,0.7732654866976498,0.7957225744208706,0.7844940305592603
Transformers in time series: A survey,https://arxiv.org/abs/2202.07125,"module, a residual connection module followed by a layer  on both module level and  architecture level of Transformer in  multi-head attention with a multi-branch attention mechanism,","Q Wen, T Zhou, C Zhang, W Chen, Z Ma, J Yan",2022,arXiv preprint arXiv …,0.7895552199421652,0.779198338797606,0.7843767793698856
HT-Net: hierarchical context-attention transformer network for medical ct image segmentation,https://link.springer.com/article/10.1007/s10489-021-03010-0,", avoiding the poor training effect of transformer-based architecture in the dataset of medical   attention mechanism of transformers, we build a HCA module following the PAA module","M Ma, H Xia, Y Tan, H Li, S Song",2022,Applied Intelligence,0.7770117162913617,0.7917153088098755,0.7843635125506185
Learning texture transformer network for image super-resolution,http://openaccess.thecvf.com/content_CVPR_2020/html/Yang_Learning_Texture_Transformer_Network_for_Image_Super-Resolution_CVPR_2020_paper.html,of the first to introduce the transformer architecture into image generation tasks attention  module to transfer the HR texture features V from the Ref image. Traditional attention mechanism,"F Yang, H Yang, J Fu, H Lu",2020,Proceedings of the IEEE …,0.7731511317022723,0.7953785079853343,0.7842648198438034
Adder attention for vision transformer,https://proceedings.neurips.cc/paper/2021/hash/a57e8915461b83adefb011530b711704-Abstract.html,"network (AdderNet). We first theoretically analyze the  Transformer— which implement the  multi-head attention module  each layer, since LN is widely used in the transformer architecture","H Shu, J Wang, H Chen, L Li",2021,Advances in Neural …,0.7767871426172496,0.7914977458495415,0.7841424442333955
An attention mechanism based convolutional LSTM network for video action recognition,https://link.springer.com/article/10.1007/s11042-019-7404-z,"transformer proposed in [13], we propose a novel attention based  convolutional LSTM  module following by a softmax layer is  network and keep the basic architecture as our baseline.","H Ge, Z Yan, W Yu, L Sun",2019,Multimedia Tools and Applications,0.7634286273180023,0.8047890366375966,0.7841088319777995
Recurrent video restoration transformer with guided deformable attention,https://proceedings.neurips.cc/paper_files/paper/2022/hash/02687e7b22abc64e651be8da74ec610e-Abstract-Conference.html,"Transformer [77] is the de-facto standard architecture in natural  ture refinement module that  consists of a convolution layer for  Besides, in the attention mechanism, we can further divide","J Liang, Y Fan, X Xiang, R Ranjan",2022,Advances in …,0.7846300507567916,0.7835853121424068,0.7841076814495992
CAM-VT: A weakly supervised cervical cancer nest image identification approach using conjugated attention mechanism and visual transformer,https://www.sciencedirect.com/science/article/pii/S0010482523005358,"designs an ensemble learning module to further improve the  architecture, mainly focusing  on three aspects: network depth,  It adds class tokens into ViT Transformer Layer and then","Z Fan, X Wu, C Li, H Chen, W Liu, Y Zheng",2023,Computers in Biology …,0.76579378199173,0.8023737717377843,0.7840837768647572
A CBAM based multiscale transformer fusion approach for remote sensing image change detection,https://ieeexplore.ieee.org/abstract/document/9855775/,attention mechanism on the basis of the convolutional neural  transformer with the  convolutional block attention module ( going through the transformer encoder layer. Split N into N,"W Wang, X Tan, P Zhang",2022,IEEE Journal of Selected …,0.7794492399533228,0.7884752357296099,0.7839622378414663
Perceiver: General perception with iterative attention,http://proceedings.mlr.press/v139/jaegle21a.html,ceiver – a model that builds upon Transformers and hence  The model leverages an asymmetric  attention mechanism to  architecture from two components: (i) a cross-attention module,"A Jaegle, F Gimeno, A Brock",2021,International …,0.7833089978857616,0.7845773900445276,0.7839431939651447
Sentiment analysis with adaptive multi-head attention in Transformer,https://arxiv.org/abs/2310.14505,We propose a novel framework based on the attention mechanism  an adaptive multi-head  attention architecture (AdaptAttn)  The multi-head self-attention module is a key component in,"F Meng, D Demeter",2023,arXiv preprint arXiv:2310.14505,0.772973484538893,0.7947982274066584,0.7838858559727757
Maformer: A transformer network with multi-scale attention fusion for visual recognition,https://www.sciencedirect.com/science/article/pii/S092523122400599X,"but effective module to explore the full potential of transformers for  Some existing transformers  explore the hybrid architecture to  attention mechanism, and X l denotes the output of l th","H Sun, Y Wang, X Wang, B Zhang, Y Xin, B Zhang",2024,Neurocomputing,0.7781592479087889,0.7895443369914878,0.7838517924501384
Spatial convolutional self-attention-based transformer module for strawberry disease identification under complex background,https://www.sciencedirect.com/science/article/pii/S0168169923005094,"of an image, attention mechanism has been introduced to  Block Ⅳ have the same network  architecture with that of Block Ⅱ.  map by using the output layer W o . In summary, the SCSA-","G Li, L Jiao, P Chen, K Liu, R Wang, S Dong",2023,… and Electronics in …,0.7708903792838229,0.7967560959237502,0.7838232376037866
Dual-aspect self-attention based on transformer for remaining useful life prediction,https://ieeexplore.ieee.org/abstract/document/9737516/,"In this method, we apply the transformer architecture [24] to  attention mechanism and temporal  convolutional network ( encoder layer uses the multihead self-attention mechanism [24] to","Z Zhang, W Song, Q Li",2022,IEEE Transactions on Instrumentation …,0.776380365022901,0.7912448636841034,0.7838126143535022
Activating more pixels in image super-resolution transformer,http://openaccess.thecvf.com/content/CVPR2023/html/Chen_Activating_More_Pixels_in_Image_Super-Resolution_Transformer_CVPR_2023_paper.html,"Besides, we introduce an overlapping crossattention module to achieve more direct   self-attention. Our OCAB consists of an overlapping cross-attention (OCA) layer and an MLP layer","X Chen, X Wang, J Zhou, Y Qiao",2023,Proceedings of the …,0.7711884144450288,0.7963974236899932,0.783792919067511
Attcat: Explaining transformers via attentive class activation tokens,https://proceedings.neurips.cc/paper_files/paper/2022/hash/20e45668fefa793bd9f2edf19be12c4b-Abstract-Conference.html,"Figure 1: An illustration of Transformer architecture. The left  Each layer consists of a  self-attention module and a skip  and (b) a feed-forward network module, coupled with layer","Y Qiang, D Pan, C Li, X Li, R Jang",2022,Advances in neural …,0.7771233238431783,0.7903661063131968,0.7837447150781875
Pyramid medical transformer for medical image segmentation,https://arxiv.org/abs/2104.14702,"network architecture, namely Pyramid Medical Transformer ( axial attention module does  not concern global attention  The first integrates the attention mechanism into their CNN","Z Zhang, W Zhang",2021,arXiv preprint arXiv:2104.14702,0.7787459787267698,0.7885156313823927,0.7836308050545813
Reason Generation for Point of Interest Recommendation Via a Hierarchical Attention-Based Transformer Model,https://ieeexplore.ieee.org/abstract/document/10330074/,"architecture of our hierarchical attention-based Transformer ( as the pretraining model in the  embedding layer. In addition,  archical attention mechanism containing word-level attention","Y Wu, G Zhao, M Li, Z Zhang",2023,IEEE Transactions on …,0.7802386544530622,0.7869838677331323,0.7836112610930972
Beyond self-attention: External attention using two linear layers for visual tasks,https://ieeexplore.ieee.org/abstract/document/9912362/,"a novel attention mechanism which we call external attention,  attention module named  external attention, which computes  with common CNN-based and transformer-based methods.","MH Guo, ZN Liu, TJ Mu, SM Hu",2022,IEEE Transactions on Pattern …,0.763547508964231,0.8035841760608479,0.7835658425125394
Asymmetric cross-attention hierarchical network based on CNN and transformer for bitemporal remote sensing images change detection,https://ieeexplore.ieee.org/abstract/document/10045704/,a transformer module in the UNet architecture to form a CNN- CNN with the Transformer in  parallel within the module. In  the asymmetric multi-head cross-attention mechanism is critical,"X Zhang, S Cheng, L Wang, H Li",2023,IEEE Transactions on …,0.7752193799695262,0.7917148357721455,0.7834671078708358
FusionNet: a convolution–transformer fusion network for hyperspectral image classification,https://www.mdpi.com/2072-4292/14/16/4066,"that the network that uses the attention mechanism can learn  layer with Transformer,  and investigated Transformer  –Transformer module with an additional convolution module","L Yang, Y Yang, J Yang, N Zhao, L Wu, L Wang",2022,Remote Sensing,0.7727149125569126,0.7936991097984731,0.7832070111776929
Learning Attention from Attention: Efficient Self-Refinement Transformer for Face Super-Resolution.,https://www.ijcai.org/proceedings/2023/0115.pdf,"module which integrates shallowlayer structure and deep- mechanism for Transformer, called  Region Selection  • We propose an efficient self-refinement Transformerbased architecture","G Li, J Shi, Y Zong, F Wang, T Wang, Y Gong",2023,IJCAI,0.7696848860622825,0.7967242142103559,0.7832045501363192
